model,ratio_coconot_converted,ratio_evol_codealpaca_heval_decontaminated,ratio_flan_v2_converted,ratio_no_robots_converted,ratio_numinamath_tir_math_decontaminated,ratio_oasst1_converted,ratio_personahub_code_v2_34999,ratio_personahub_ifdata_manual_seed_v3_29980,ratio_personahub_math_v5_regen_149960,ratio_tulu_hard_coded_repeated_10,ratio_tulu_v3.9_aya_100k,ratio_tulu_v3.9_open_math_2_gsm8k_50k,ratio_tulu_v3.9_personahub_math_interm_algebra_20k,ratio_tulu_v3.9_sciriff_10k,ratio_tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,ratio_tulu_v3.9_table_gpt_5k,ratio_tulu_v3.9_wildchat_100k,ratio_tulu_v3.9_wildjailbreak_decontaminated_50k,ratio_tulu-3-sft-personas-math-grade,metric_minerva_math::tulu,metric_gsm8k::tulu,metric_bbh:cot-v1::tulu,metric_mmlu:cot::summarize,metric_codex_humaneval::tulu,metric_codex_humanevalplus::tulu,metric_drop::llama3,metric_ifeval::tulu,metric_popqa::tulu,metric_truthfulqa::tulu,metric_arc_challenge:rc::tulu,metric_bigcodebench_hard::tulu,metric_gpqa:0shot_cot::tulu3,metric_naturalqs::tulu,metric_piqa:mc::tulu,metric_socialiqa:mc::tulu,metric_triviaqa::tulu,train_time,metric_avg_id+ood,metric_avg_id,metric_avg_ood
Qwen2.5-0.5B,0.0152,0.0368,0.063,0.021,0.0838,0.0158,0.0418,0.0608,0.1398,0.0,0.0332,0.0254,0.0224,0.0422,0.077,0.0192,0.147,0.1294,0.0266,0.1823172812,0.3343442002,0.3091690984,0.3927207647,0.545698572,0.5172958837,0.2537594379,0.3548983364,0.1018434149,0.406485533,0.3865187713,0.0,0.2633928571,0.085465374,0.6365614799,0.5783009212,0.1984174448,95.348772619,0.3263052571,0.33985325224,0.30695097832857143
Qwen2.5-0.5B,0.026,0.064,0.0546,0.0246,0.035,0.0158,0.0166,0.0954,0.1448,0.0,0.0834,0.018,0.0392,0.0184,0.122,0.0242,0.1012,0.0984,0.0186,0.1772888137,0.3358605004,0.301796959,0.3852519297,0.5593375231,0.5017748194,0.2551436661,0.3530499076,0.1005116703,0.4063904665,0.3848122867,0.0067567568,0.2901785714,0.0829584488,0.6420021763,0.5762538383,0.176023422,95.348772619,0.3256112798,0.33764062557999996,0.30842650004285715
Qwen2.5-0.5B,0.0046,0.092,0.0726,0.018,0.0216,0.0042,0.0286,0.0482,0.0952,0.0012,0.051,0.223,0.0422,0.0232,0.0786,0.0128,0.0688,0.0364,0.0776,0.1865428587,0.3957543594,0.3028720627,0.4094814254,0.5625278878,0.4975500647,0.2513076762,0.3327171904,0.1028247004,0.403068715,0.3907849829,0.0135135135,0.2723214286,0.0921578947,0.6354733406,0.5762538383,0.2012232152,95.348772619,0.3309632444,0.34446469406999997,0.31167545911428574
Qwen2.5-0.5B,0.0428,0.103,0.0416,0.0248,0.0726,0.0356,0.0226,0.0574,0.086,0.0004,0.0372,0.0252,0.0772,0.0052,0.0842,0.0092,0.0718,0.0888,0.1142,0.1684584593,0.3404094011,0.3016433728,0.3758505126,0.5615469632,0.5492425343,0.2546696728,0.3401109057,0.0998808439,0.41144061,0.3873720137,0.0067567568,0.2611607143,0.0893102493,0.6343852013,0.5757420676,0.1861059197,95.348772619,0.3261227175,0.34032532757,0.30583327467142857
Qwen2.5-0.5B,0.0314,0.0568,0.0484,0.0184,0.064,0.0048,0.0234,0.0312,0.1882,0.0006,0.0414,0.1628,0.0262,0.0088,0.0742,0.0192,0.121,0.0562,0.0236,0.20422618,0.3783169067,0.3016433728,0.3993124971,0.5397338824,0.5011375914,0.2544054111,0.3049907579,0.104506904,0.4055822513,0.3873720137,0.0067567568,0.2745535714,0.0883628809,0.6436343852,0.5757420676,0.1899353991,95.4,0.3270713429,0.33938557547000003,0.3094795821
Qwen2.5-0.5B,0.0304,0.0636,0.149,0.0218,0.04,0.0026,0.0254,0.0528,0.0956,0.0008,0.1136,0.0228,0.0096,0.004,0.0962,0.0176,0.0536,0.0678,0.1328,0.1817706464,0.3184230478,0.3059437874,0.390978953,0.5421715074,0.5178985573,0.2550786493,0.3382624769,0.1020536903,0.399824923,0.388225256,0.0067567568,0.2611607143,0.0920969529,0.6381936888,0.571136131,0.2095782794,95.348772619,0.3246796481,0.33524062388,0.3095925398857143
Qwen2.5-0.5B,0.0126,0.0512,0.0798,0.0194,0.0852,0.0054,0.0184,0.0978,0.0702,0.0006,0.1122,0.0622,0.0572,0.0134,0.0282,0.009,0.0758,0.1338,0.068,0.1867578704,0.3411675512,0.2978037168,0.4227813707,0.5515837896,0.5039605962,0.2554226091,0.3512014787,0.1009322212,0.4030688665,0.388225256,0.0067567568,0.2700892857,0.0912520776,0.6387377584,0.5762538383,0.2097368432,94.2333333333,0.3291606992,0.34146800704,0.3115788308571429
Qwen2.5-0.5B,0.0122,0.1256,0.0708,0.0248,0.0298,0.0324,0.0662,0.048,0.1024,0.0002,0.0772,0.0734,0.0566,0.011,0.0772,0.0208,0.076,0.0654,0.0296,0.1796443549,0.3616376042,0.3041007526,0.4020609816,0.5703954827,0.5383328585,0.2563317953,0.3364140481,0.099460293,0.4019010691,0.3941979522,0.0,0.2767857143,0.0891800554,0.6398258977,0.5721596725,0.2034082631,95.348772619,0.3309315762,0.345027924,0.3107939364571428
Qwen2.5-0.5B,0.006,0.0452,0.0772,0.0332,0.0508,0.0106,0.0154,0.0404,0.1004,0.0002,0.1114,0.1092,0.0314,0.012,0.0914,0.013,0.13,0.0502,0.072,0.182306214,0.3586050038,0.3033328214,0.4026996249,0.5491126332,0.508464856,0.2526090604,0.325323475,0.1005116703,0.4046810407,0.3865187713,0.0067567568,0.2566964286,0.0879695291,0.6430903156,0.5716479017,0.2031965261,96.0666666667,0.3260895664,0.33876463996999995,0.30798231845714286
Qwen2.5-0.5B,0.0144,0.0904,0.1594,0.0036,0.1378,0.0218,0.0248,0.0314,0.0558,0.001,0.1838,0.067,0.044,0.0194,0.0294,0.0194,0.055,0.0194,0.022,0.1945126248,0.313115997,0.301796959,0.391463304,0.5640544233,0.5179382603,0.2537510487,0.3382624769,0.1009322212,0.3910161719,0.3890784983,0.0067567568,0.28125,0.0947146814,0.6284004353,0.5798362334,0.2118899306,95.348772619,0.3269864719,0.3366843487099999,0.31313236225714286
